Year,Australia,Malaysia
2001,6.74,3.53
2002,6.37,3.48
2003,5.93,3.61
2004,5.39,3.54
2005,5.03,3.53
2006,4.78,3.31
2007,4.38,3.23
2008,4.23,3.32
2009,5.56,3.66
2010,5.21,3.39
2011,5.08,3.05
2012,5.22,3.10
2013,5.66,3.16
2014,6.08,2.88
2015,6.05,3.10
2016,5.71,3.44
2017,5.59,3.41
2018,5.3,3.30
2019,5.16,3.26
2020,6.46,4.50
2021,5.11,4.61
