State,EmployedPeople
New South Wales,"4,274,700"
Victoria,"3,525,900"
Queensland,"2,774,000"
South Australia,"883,300"
Western Australia,"1,470,600"
Tasmania,"264,200"
Northern Territory,"134,000"
Australian Capital Territory,"233,300"
Australia,"13,558,400"
